sample_id,roi,season,year,agri_fraction,ndvi_mean,ndvi_std,stress_ratio,label
2017_winter_130_p117,130,winter,2017,1.0,0.3789794462851726,0.1549645197762206,0.3526611328125,False
2017_winter_130_p118,130,winter,2017,1.0,0.3493802591045692,0.1446962938401184,0.4109039306640625,False
2017_winter_130_p119,130,winter,2017,0.99859619140625,0.3262898401268067,0.1470618459454108,0.4810219424240572,False
2017_winter_130_p120,130,winter,2017,0.9011077880859376,0.3120577103729091,0.1668954877920455,0.5331470662941326,True
2017_winter_130_p121,130,winter,2017,0.733367919921875,0.3477610227623095,0.1939512589524702,0.4700387000124839,False
2017_winter_130_p146,130,winter,2017,1.0,0.3420664683191033,0.1539667668556694,0.4566192626953125,False
2017_winter_130_p147,130,winter,2017,1.0,0.3379402626822484,0.1498026644538054,0.4710845947265625,False
2017_winter_130_p148,130,winter,2017,0.99859619140625,0.2991584755551795,0.1405618134904938,0.5851720554978302,True
2017_winter_130_p149,130,winter,2017,0.93389892578125,0.2452187237536473,0.116206990693491,0.7191360041827332,True
2017_winter_130_p150,130,winter,2017,0.6843719482421875,0.3069603705743485,0.1778424802545707,0.5790283382756237,True
2017_winter_130_p175,130,winter,2017,1.0,0.3687448163956671,0.1926631982729726,0.435150146484375,False
2017_winter_130_p176,130,winter,2017,1.0,0.3867796553593759,0.1820296984217756,0.391510009765625,False
2017_winter_130_p177,130,winter,2017,1.0,0.311892097245909,0.1733830316864533,0.5704193115234375,True
2017_winter_130_p178,130,winter,2017,0.9681854248046876,0.2430722109772602,0.1482559588531857,0.7548186789806307,True
2017_winter_130_p179,130,winter,2017,0.8773040771484375,0.3437791304405435,0.2000234806051802,0.5271414905643969,True
2017_winter_130_p204,130,winter,2017,0.884979248046875,0.3442496328943525,0.2164222089314066,0.5070864512569399,True
2017_winter_130_p205,130,winter,2017,0.91448974609375,0.3897356048520901,0.2015309410255738,0.4002536207702062,False
2017_winter_130_p206,130,winter,2017,0.999755859375,0.3507551195986887,0.1965530410718495,0.4811202686202686,False
2017_winter_130_p207,130,winter,2017,0.90716552734375,0.2963707561746543,0.1788321117344911,0.605059543833681,True
2017_winter_130_p208,130,winter,2017,0.878173828125,0.3801203562607741,0.2030861842299888,0.4372219905476786,False
2017_winter_130_p209,130,winter,2017,0.6717529296875,0.4269395252407718,0.2093676598369552,0.3478557150645102,False
2017_winter_130_p233,130,winter,2017,0.85235595703125,0.2537831624613196,0.1892264426442829,0.7141424991049051,True
2017_winter_130_p234,130,winter,2017,0.8680572509765625,0.3365948713161821,0.2203619765239824,0.5322470073300638,True
2017_winter_130_p235,130,winter,2017,0.9398956298828124,0.3585379706154551,0.203165384439552,0.4694222121207201,False
2017_winter_130_p236,130,winter,2017,0.694061279296875,0.3347817176086229,0.1778341488045262,0.5035835202040189,True
