sample_id,roi,season,year,agri_fraction,ndvi_mean,ndvi_std,stress_ratio,label
2017_winter_102_p100,102,winter,2017,1.0,0.12803765778458187,0.16881744576188898,0.8158416748046875,True
2017_winter_102_p101,102,winter,2017,0.9666900634765625,0.15873886326683068,0.1817762251091959,0.7579909396555806,True
2017_winter_102_p102,102,winter,2017,0.9666900634765625,0.18624563619057846,0.19776813945656313,0.7530345839976007,True
2017_winter_102_p103,102,winter,2017,0.94732666015625,0.19392160952017812,0.20069380650552754,0.7406578184395335,True
2017_winter_102_p104,102,winter,2017,0.8648681640625,0.23219263122250647,0.17916474695231271,0.6401199717713479,True
2017_winter_102_p105,102,winter,2017,0.909423828125,0.28851356063401096,0.17235800023925374,0.5605369127516778,True
2017_winter_102_p106,102,winter,2017,0.99188232421875,0.2892818388893251,0.1849475080214238,0.5497661682358008,True
2017_winter_102_p107,102,winter,2017,1.0,0.2324464727014582,0.17769153227687215,0.6750640869140625,True
2017_winter_102_p108,102,winter,2017,0.961700439453125,0.2000855143506003,0.15841703170608246,0.7927204645701774,True
2017_winter_102_p109,102,winter,2017,0.9320831298828125,0.20609473331343175,0.1553669831138089,0.7768028157485471,True
2017_winter_102_p110,102,winter,2017,0.9341888427734375,0.19599550460455872,0.1778147766711531,0.7409306959802688,True
2017_winter_102_p111,102,winter,2017,0.7362823486328125,0.2732430573141766,0.21527674760713864,0.5417694236627775,True
2017_winter_102_p122,102,winter,2017,0.863372802734375,0.20219209099193192,0.15690800060153662,0.7783747481531229,True
2017_winter_102_p125,102,winter,2017,1.0,0.2942439365265137,0.13636402343801604,0.5550689697265625,True
2017_winter_102_p126,102,winter,2017,1.0,0.2038552496932092,0.144877787269561,0.7815704345703125,True
2017_winter_102_p127,102,winter,2017,1.0,0.19324421072495496,0.16209995596521218,0.7966156005859375,True
2017_winter_102_p128,102,winter,2017,1.0,0.21522559422497595,0.17132210995692398,0.73577880859375,True
2017_winter_102_p129,102,winter,2017,1.0,0.2302959892371924,0.18009927400295467,0.66204833984375,True
2017_winter_102_p130,102,winter,2017,1.0,0.22188043624863096,0.18818504846507803,0.6542205810546875,True
2017_winter_102_p131,102,winter,2017,1.0,0.15359889083824596,0.1616913050763744,0.7879638671875,True
2017_winter_102_p132,102,winter,2017,1.0,0.132101012194205,0.139462534211983,0.8671417236328125,True
2017_winter_102_p133,102,winter,2017,0.95684814453125,0.16211255694628043,0.17726768215530614,0.8198156535051349,True
2017_winter_102_p134,102,winter,2017,0.8517303466796875,0.241489286435721,0.20172604438451217,0.6313083358712983,True
2017_winter_102_p135,102,winter,2017,0.8472442626953125,0.2998123558272795,0.1662921873784103,0.5022602431337235,True
2017_winter_102_p136,102,winter,2017,0.932098388671875,0.30402041156142173,0.1715383556065806,0.5307926529810432,True
2017_winter_102_p137,102,winter,2017,0.979736328125,0.28169553674579656,0.1851015569656754,0.5985546972339896,True
2017_winter_102_p138,102,winter,2017,1.0,0.22403529824893562,0.16275615193090373,0.7165985107421875,True
2017_winter_102_p139,102,winter,2017,1.0,0.2069398268969738,0.15202646921588892,0.7549591064453125,True
2017_winter_102_p140,102,winter,2017,1.0,0.2165981665170137,0.1626539632011939,0.7189178466796875,True
2017_winter_102_p141,102,winter,2017,0.998748779296875,0.22327482990048972,0.18239453086447616,0.6946863446084273,True
2017_winter_102_p142,102,winter,2017,0.7798614501953125,0.2601346767887227,0.20382689547411323,0.6182277094053885,True
2017_winter_102_p143,102,winter,2017,0.5758819580078125,0.2930657590109114,0.20511985452685622,0.5232770726795792,True
2017_winter_102_p152,102,winter,2017,0.784515380859375,0.25822047804637954,0.21265946226058477,0.6563970902866924,True
2017_winter_102_p153,102,winter,2017,0.9857635498046875,0.24564328166640045,0.17492349642563518,0.6413788833335913,True
